gnsB
atpH
Z1530
chuX
renP
mrcA
Z2395
yrbK
thiK
pfs
ycbL
pyrH
tolQ
paaJ
glpK
c0429
Z2338
ileS
c3242
c3189
pphB
Z1339
prfH
potF
yegD
tgt
ribF
yigP
nuoM
htpX
cvpA
ycjG
c4541
nmpC
rpsN
Z5903
kdpB
Z5881
Z0328
c1812
Z0977
ulaA
tppB
ycfU
dedD
proS
Z1323
dppB
yeaK
ycdC
ycbC
glpT
sucC
ECs4966
yebA
ybgK
dicA
tktB
ydjN
yehU
ribE
Z2152
fhuF
Z0521
Z1817
c2383
c1188
papD_2
focC
c1544
c0298
c1233
hypB
hslO
sucD
ECs0849
Z4882
sucA
yeiP
rnc
Z4069
rplS
ECs2198
c5357
nikB
Z5474
Z6075
gldA
c3395
Z3122
ECs5419
yajG
rlmL
rnk
c0137
rpsM
Z1772
c1205
c1206
yfcP
Z2097
ECs1538
Z6034
recX
c0820
yddW
c4786
ydaO
yehE
ynfD
ydhO
yebC
ECs2239
Z5223
c1423
Z1478
yjbG
ymfJ
zipA
speA
priB
ybhB
secG
znuA
ggt
nemA
c3338
lacZ
gltA
serC
ygjR
yggX
c3144
c1505
c3645
yggV
ECs4538
c5173
c1141
c3159
Z4403
tolA
c0813
Z5200
ybeB
Z1647
c3560
ECs3718
aceK
Z1346
rplU
flhD
Z1855
mdoH
fnr
ylbA
fadD
yfgM
c0284
Z0722
yedE
Z3917
c0163
Z6039
Z1386
Z1635
sgbE
malY
c1671
yccA
yfgL
ybgC
lpxA
ybeY
ychJ
rfaY
c3600
groEL
Z1642
c1413
c1207
c1453
rpsS
ynfI
Z3262
Z5131
slpA
holD
c2972
yehS
ECs1332
yebE
c1500
c1428
yihM
Z1541
yfiQ
c3292
Z0973
c3180
yniB
yfeH
pyrG
Z0245
yggU
yjjK
hflB
purA
sfcA
napC
fes
c3030
narZ
yfaQ
c1452
c0955
c2407
kdsB
potA
araC
c3343
hemK
relE
murQ
c2471
rttR
c5039
Z2992
Z5009
Z1773
rpsF
rplV
ftsB
ada
relB
galU
ftsY
yciN
folC
yqgA
c0410
c3173
clpB
ppk
spoT
yadC
mglB
Z4789
ECs2976
Z2311
yhbC
rpmG
ybgJ
modA
c0949
nuoB
yhaO
c2019
phoA
Z3359
c0963
afuA
betB
c1493
c4849
glmS
c3696
ECs5438
yrbA
yneI
ybjU
selD
Z1383
c0693
Z0982
Z1619
nrdD
c3651
Z0461
c1089
c2406
ECs5479
Z1626
yadN
Z1876
ECs4996
infC
rnd
c3755
yhbG
rdlA
intC
uidA
yacL
dnaG
yoeB
galF
atoC
rpiA
wbbL
fdnH
c0328
ECs5441
accA
menB
ECs2190
narG
stx2A
pcnB
clpX
Z1484
phrB
visC
Z5117
ECs2270
Z5213
ygfB
Z3271
c5059
modF
Z6047
yfcS
c2561
elaA
Z1219
c1463
gshB
proB
msbA
fdnI
rpmB
c2241
ubiG
Z2994
mfd
gtrB
Z5137
yeaY
Z5091
c5225
c2158
ECs4943
c0335
ECs4993
rpsQ
upp
cysJ
ECs5549
c3163
c3203
ydiK
Z2040
Z1431
ECs0353
ibpB
ndk
Z2093
ECs4968
c0329
c0336
c0303
c2898
vacJ
ECs5584
murE
flhC
rplW
ECs5412
ispZ
rplP
wbdR
c5174
ydcA
Z6037
mukB
Z0899
c1890
hpt
yecM
c1051
modE
Z1784
c5434
chuY
c3678
torA
gadB
Z0967
leuB
ECs0811
c1288
pfkB
dinD
ccmC
pssA
hokC
rpsH
c1259
yqgE
c1436
yidC
c0809
Z1820
Z6020
Z3918
ECs4962
Z3085
Z3109
Z2041
c3167
Z2565
ECs4983
Z2096
ECs5406
ribH
Z2978
c1533
gmhA
nuoC
Z0502
c0915
c1279
oppC
Z1957
ybhT
ftsQ
c0324
c3692
c0341
c0441
Z0265
ECs5482
yjcR
Z6045
Z2077
c3104
ygcB
sbcB
trmB
rpmJ
ydjB
holB
ydhE
prfC
xerD
fdoG
ybgL
yfbT
c3657
ygcN
Z5226
c4300
c3514
narY
yadL
ompA
c0359
yidR
cdsA
glnB
ychN
rpsC
rpoA
secY
rnb
yciC
manC
Z3091
yeiM
c0315
c1419
ybbP
Z3058
acpD
rluC
c1539
lpxB
nuoA
c0951
ppx
yfgE
Z0331
cysH
ECs3489
cysA
yihS
gntP
c3629
c2496
tdcE
Z1770
yehP
Z1819
c3650
Z2390
lomP
ECs1067
nagZ
pyrF
hisH
yffH
yghB
ubiB
paaK
srmB
Z3931
yggJ
mogA
Z2391
emrR
ECs4964
paaI
ECs4981
yaeT
ECs2991
c1276
Z2291
xapA
mreC
Z0373
tdcD
Z6012
Z3128
ECs5376
Z0267
yfcV
kbl
murG
c1556
rpsD
yhdG
dam
c2236
Z3079
ycfJ
ycjC
Z1646
ydiJ
Z2045
Z4170
Z4876
gatC
c3398
c3594
ykgA
Z5123
aroK
c1776
c0808
Z2367
surE
c1693
nusA
icc
ybiW
Z1569
yegQ
guaB
sepZ
ECs0951
c2662
c2740
Z1597
c3337
Z2374
yciK
ccmE
ygiB
dinF
fdx
slmA
yggT
ymcD
lon
elaB
metL
ECs1166
leuS
Z0340
rpoD
ECs5457
ldcC
Z0986
c1766
c4528
Z0948
c4223
moaD
yjeR
proA
ybjC
glpX
uup
iscA
rpsA
murA
ydc
btuE
yfhM
wzy
rihA
fadA
trkG
stx1B
dnaN
paaD
recG
Z3919
Z2445
papD
Z4878
ygjQ
Z0257
c3663
thiL
cls
paaF
yeeI
yheF
hnr
yeeD
Z1485
dnaC
c3712
recC
Z5489
c2515
c4442
mdlA
c2727
yodC
ligA
c2401
ydfP
ygcQ
Z1779
yhiE
trmE
c4898
truB
ydhM
ygaH
artM
yfgA
c0279
btuC
Z3121
c4210
c5030
Z1475
ECs5593
yheJ
papI
mipB
ECs1941
fliC
c2560
ilvI
ygeT
yhaD
Z5079
yhgH
mhpD
yecS
c4594
yhbY
c3647
speG
lysP
c1457
Z2558
rpsG
c1525
c4074
yheS
Z4833
ECs1539
Z0961
ascB
napB
Z6067
degS
htrA
Z1548
c1183
c1456
Z3106
yliJ
map
c2400
tehA
chpA
c5036
yneH
Z1664
galM
artQ
yfhB
ECs5432
yfiF
Z3084
ibpA
c3787
ybeA
wbdO
c0258
ybhG
c5041
ECs4975
Z0960
c5205
speF
glmM
c2514
btuR
sspA
uvrC
Z3757
dnaT
era
c4282
dsdC
nrdF
rpsL
relA
c0934
yciX
glpQ
c5195
yqiC
cspC
Z3092
c1290
Z2240
ybhI
wbdP
Z0870
ureA
recD
wzxE
rpmE2
Z3099
ECs1596
Z5688
pth
ECs2281
c1186
c0340
ECs4988
yiaM
yliA
amiA
ECs1184
c1417
ybjL
ybdS
c3693
Z5692
narJ
malQ
c1936
sspB
Z3785
Z1786
yfiO
c1455
rplA
yaeS
c2623
nupG
acrA
ECs5595
yggS
Z3619
soxS
asmA
c0264
cysI
ycbK
hlpA
tolB
dcuC
c1174
ycjF
hisI
c0852
c1191
ureE
c3186
atpI
yddE
sapA
gtrS
holA
c1781
chpR
ydiZ
c5164
c0411
iap
yabI
Z6052
yhbU
c5293
c3689
c0365
Z6033
ydiS
ECs4994
treB
ECs4995
ECs1544
narW
Z4328
c1411
ECs1200
gamW
Z2047
ppa
yfiH
Z2046
ychM
ybaE
ECs4959
yecP
epd
yefM
c1451
yciM
yigC
cydC
ymjA
ecnA
Z0313
c1574
Z4360
nagD
Z1618
c3750
rpsV
yedF
Z2371
Z4861
Z2339
c3273
Z0415
xisN
cysG
Z4195
hisP
Z1536
Z2261
yiaF
c0545
rpsR
Z3088
amiB
cspB
ECs1576
paaE
narX
ycfX
proC
purE
ECs0235
c3156
c3630
asnB
eutL
c5351
Z0256
yeiC
ydcT
hipA
Z6046
Z1534
galP
c5378
c4276
Z2369
Z5142
ygcW
ECs5414
yeaO
hycI
mdoD
rplE
yfcM
rna
yoaE
rep
Z0330
c1102
evgS
c3615
ygfA
uvrD
c4758
hisD
ECs4953
Z1624
c5304
c2392
c2523
c3161
Z0886
Z1493
focD
yecO
pdxA
c2257
hisS
galK
c1416
tsf
Z2971
araF
phoB
yfhG
cycA
rumA
melA
purL
c2493
sppA
Z5884
modB
yheT
nhoA
Z4220
lldD
Z0608
c4760
Z4188
c3133
ECs3503
c1501
Z3940
c1483
Z1491
Z1486
potC
yjjA
thrB
yjaG
ypfH
fadR
yejM
c1892
ptsH
c2558
Z3373
yfcZ
Z3600
c2513
Z6069
Z3120
phnK
c0651
mgsA
potB
ECs5365
mltE
potD
ycgL
corA
c4547
rlpA
Z1457
c3790
Z2053
Z2562
mraW
c1235
Z2281
ECs5591
ybcN
c5372
Z0255
Z0975
sdhB
ybiC
ECs4992
yoaH
ychK
Z2301
c3767
ccmB
pabC
yobG
yqaB
yfjD
c2475
Z1046m
cobB
Z4192
c4431
yabP
c5137
ycgO
cmtA
Z4199
Z3105
Z2508
ECs4955
Z4333
c2428
c2410
c1481
yjfG
yddM
tyrR
Z1460
c3601
c1410
c1526
entF
c3655
yniC
efp
trpB
rimI
hflK
c1605
yacF
rbfA
ECs5542
c5199
Z1566
c1292
ECs1560
c3587
yeaJ
ftrA
c4488
Z2099
sdhC
c1567
ilvY
Z5337
Z1580
Z5491
Z3328
acpP
rpmD
pyrD
Z2241
imp
lpxK
glmU
ygiC
gph
Z1545
yqiB
ptsA
guaC
Z1652
paaC
Z2400
yneF
c2399
mutS
sbcD
murD
c2413
Z3087
c1421
c1246
ECs4954
c0977
Z1867
c0174
Z1843
c3561
yhgF
Z2076
oppF
uvrY
ycbP
c3556
ECs5581
c5208
yahA
menF
ydjZ
gshA
ydcL
terB_2
c4775
c4007
ynbC
Z2398
yobF
psuI
Z1453
Z6036
ECs4960
ddl
ptsP
Z0640
ECs5592
fusA
Z4090
rdgC
c1547
ydfZ
hslU
nfnB
Z1426
Z4187
ybdO
acnA
ypfI
exoU
Z0985
c2483
Z6074
c1460
ECs5380
c1425
c0723
c1957
c1498
Z2227
c0936
ECs2180
rhaD
gpmM
Z3362
Z1551
fucU
csiE
insH1
c2023
msbB
c1886
c0526
yhgI
ybjT
c4518
lnt
c0256
mhpF
c5382
papH
Z5618
araB
c4423
Z2985
ybaL
pykF
malZ
gltD
Z3082
pgtB
yedI
Z1097
ycfP
yfhA
mazG
ftsA
c1690
sapD
yhbN
paaH
rhlB
yeeE
yeaB
yadB
c2924
Z0250
yegI
ypjA
iroD
yrbI
serB
cohE
Z3496
gpsA
yrbD
c3386
yddG
lomR
Z4875
nhaR
c4759
betI
Z3531
prpR
mchD
treC
c4560
yfaL
ybbO
ycfD
atpB
yjeQ
c4756
feaB
panC
grxB
psd
lrp
dsbA
c1543
c2467
Z5113
c2418
Z4177
fruB
Z2851
glgP
malS
Z4888
c1171
c0349
yfiE
dut
zraS
lipA
nlpC
dcm
narP
ubiH
c0394
c4661
moaC
c2466
c3972
deoB
c3136
ispF
cca
Z6017
Z1430
nrfE
c0368
Z2094
ECs2962
c0953
aroB
ylaC
lit
hslJ
yebY
sapF
eco
ansA
Z0887
Z2120
yjbJ
Z4327
c4569
Z1768
yhaM
yciA
Z4338
c2504
yhgE
molR_A
Z0976
poxB
Z0956
fhuB
Z3782
Z5220
Z1492
ybcL
c3714
truD
yeiG
ybbU
tatA
rplO
yabB
c4982
frsA
quuQ
yrbE
fur
tesB
c5058
accC
sapB
uhpA
gyrB
ECs5580
uxaB
Z5136
Z3026
escU
tktA
c2396
Z0246
Z1446
c3641
flgI
Z0314
Z3624
yqjE
nhaA
c0503
c5212
c2559
rseC
yafK
Z3937
sun
pqiB
c3199
c3303
c3638
argD
c1540
flk
Z0955
Z3596
c2068
mchC
lhr
Z1662
yibO
sdhD
c0758
eaeH
ECs5377
c1415
nagB
ycdT
hlyA
yccW
cybC
mdoB
murC
Z5163
c0062
pheA
Z2382
Z4250
c1660
nth
ygeW
Z6026
c3459
c4398
c0077
erm(A)
Z1648
c2500
c3404
Z0879
cobT
artI
infB
queF
Z1621
yccF
ECs1183
c4839
waaP
Z3127
Z3973
yohD
rcsB
Z0634
yegV
ymgB
c2814
ycgJ
xasA
Z0324
c1882
c4617
Z2989
narV
c4771
yjiZ
Z3107
c3468
yciR
oxyR
c0550
c4831
lgt
ydhA
yjeE
yjjG
ybbA
yigB
ydbC
yjgD
alkA
ycbX
yhjX
stx1A
Z4267
c3272
glnA
ybjK
eae
Z1608
ECs0801
mnmC
c1184
c0088
marB
yohN
psiF
ypfJ
aspC
dnaE
ybhC
ymfI
c2543
Z0274
yqcA
ogt
ydcJ
pgpA
yhbE
yciI
Z3947
paaZ
gatR
fxsA
c3172
yaaJ
ECs1537
Z1601
Z1796
c0026
astD
Z1848
c4013
tesA
rplX
c0257
yaeL
exbB
Z3306
ECs2215
c5209
ucpA
Z4321
frvX
c1198
srlR
gutQ
c4283
c1173
Z0362
cyaA
c3634
rne
stx2B
c3243
Z2075
Z1539
rplN
Z4787
lspA
glnE
gtrA
yffR
tff
Z1442
pepA
yecC
macA
ECs1218
ygfY
yhcC
c0364
ydcN
c3674
Z1018
c0460
gcl
cysE
yeiH
recF
c1880
Z4180
Z1577
c2145
yhjW
c5375
Z0254
c2566
c4776
c3165
Z0583
Z5143
Z4965
ECs0301
c3662
smg
brnQ
gcvR
yajK
sodA
papG
eutC
sufA
Z2399
ydhI
c5421
c1217
c3659
ydiY
pabB
Z1096
paaB
Z2386
c2348
ygaA
rfaI
sbcC
papF
c1439
c2429
c1192
c2220
c0961
c5302
paaG
aroG
rplF
ypdA
ycdY
htrB
Z3939
cspE
hisF
sokB
ygeV
c4550
c3604
yciH
c5057
c4663
ybdH
lepB
yceG
c1649
nanT
perM
minC
ybjM
sucB
Z0989
Z1920
c0960
Z3073
c3403
ugpC
c2498
Z4322
dksA
ubiE
ftsL
sseB
ydcF
Z0258
c4896
ymgA
murB
yneG
nadD
celA
c3680
c1461
ECs1365
Z1620
ECs0143
c2436
Z6025
Z1800
Z4093
Z2049
yrfC
yghQ
c1502
Z4968m
ybjR
yfbS
yeeF
yciU
c2502
znuC
selB
ybiA
c2473
c3794
pgpB
yadP
purM
c3578
yeaQ
intR
Z5089
nuoH
Z4331
ydjF
sapC
engA
c5371
c1200
baeR
Z4194
c0417
panF
c3388
c0311
c3631
ybfF
fmt
tonB
c3957
ECs3510
hisJ
yecN
glyQ
emrE
ybaU
Z3270
Z1623
ECs1168
yegN
yehQ
rhlE
hycH
c0392
waaV
c4837
c2499
Z2090
c1459
Z1537
mglA
ushA
ECs2799
yagU
c1454
c4829
c1488
yehB
c3408
Z0635
Z6019
c1575
Z0895
Z2092
yojN
btuD
ompX
c1138
c1430
c3719
hflC
c1617
c0970
ynjF
aroH
ECs3715
c1289
c2046
pheL
c2450
c3562
Z4852
Z3071
Z2312
xisP
c0078
c0367
c4492
c1414
Z4803
Z3100
rtcR
yfjG
Z1487
c5425
c4517
micF
Z0970
artP
mppA
hipB
mreD
miaA
yijD
zntA
rbsC
c0286
yhbS
tpx
Z5868
c2835
c1628
c0350
Z1359
oprR
ispG
ECs1315
smp
c3271
ycdO
ECs3383
Z1651
hlyB
Z1344
yejL
yphC
c0319
c5437
yabN
c3684
c5061
c0309
lolD
yraM
nagC
rhoL
apaH
isrC
yjgA
talC
endA
yncA
dnaB
oppD
ydeM
c4563
ycfR
c5379
speD
ECs1098
ECs1567
ptsI
Z3371
ECs1181
yeiE
espA
c3385
c2414
hycB
c4753
Z1775
c0281
c3890
glnD
c1763
ECs2166
maf
intF
ECs3507
yhbM
hemE
c2992
dxs
ybjD
c0978
yfiC
mchE
hypA
yrbF
c2147
c0941
c1527
c3683
focG
Z1840
aroF
ybcU
c2461
c0259
Z0078
c2397
Z4811
ihfB
escS
yieH
thiM
ygbE
ECs2963
Z2402
dapB
ptrB
alpA
coaE
tolC
Z0347
c4768
rarD
sprT
c0331
nikE
c1550
c3154
recE
Z2088
Z0024
sitB
yedJ
yccK
yajO
Z0984
queA
c2393
rluD
yjcO
ymfR
ssb
tas
metE
yjcW
yliC
Z2777
c3157
Z5095
c1593
c1170
alaS
yfdZ
c3606
Z0325
yohM
Z1335
Z0962
ycgR
Z0346
Z3119
ygiF
ygeR
kefB
c3470
Z3179
rplK
ybjQ
ydjM
frcK
c3661
c0583
ECs5481
yrbC
ynjA
c3841
c2524
Z0639
yjjU
Z4088
c3241
hydG
c5081
c1204
c3754
c3149
c0957
nlpA
Z1798
ECs2213
kdgK
ftsE
dfp
c2470
serS
hokB
c2412
ybhA
Z5225
c2918
c1403
ybgI
yihW
kdpA
c0283
c1445
c3275
c2427
Z1902
c5347
c1503
c4572
c5197
yhjL
gnsA
Z5889
Z5111
Z1645
ybdF
Z0263
yhdH
c5295
c5385
Z6010
Z4971
Z1467
ECs1775
putP
Z6030
Z0968
modC
Z5121
c1489
Z0021
talB
c5476
c2251
c0799
nanA
Z0896
Z4332
nrdG
c1491
yjjM
Z1649
Z3352
yiaO
c5022
aslB
yejH
Z3942
c4549
Z0707
c5172
ECs1334
bcp
c5165
rpsE
inaA
mviN
hdhA
parC
lpdA
rcsF
rfaC
putA
nuoE
c0909
c1214
c0366
ybbF
c1167
c2462
Z5898
c4570
c0338
c0233
trpD
c5297
Z2984
Z0965
yhjG
Z1501
yabO
otsB
nfrA
Z1595
c2415
yedQ
dinJ
Z0510
Z6048
Z1803
lipB
purN
rimL
escC
c4019
c4565
yebO
c0929
Z2387
escT
c2108
Z1846
c2165
Z4324
Z1797
Z4047
c0184
Z1334
c1261
syd
secF
pdhR
yadG
ybhF
Z1341
ECs5470
rplL
c1506
Z1503
c1258
Z1352
Z5214
c0269
yqfB
alsE
Z1019
Z4776
c1433
ygjD
ihfA
Z1857
c3642
Z2052
sat
Z1568
Z0268
c5175
gltP
yeaX
ECs1081
ECs5296
narI
c3736
nhaB
folE
lpxC
yojL
Z3090
Z1856
ECs1643
lrhA
c3925
ygaZ
c0265
kpsS
Z1098
c0497
Z2474m
ECs2212
Z0327
ybiL
iroE
Z4810
yjiE
c4010
Z1799
c0967
Z4326
c1209
yfeD
Z1781
gltS
c3155
Z4982
ygiV
c0761
Z0417
Z1924
Z2142
per
mrr
ribB
gor
yjfH
yaeQ
yadT
Z1332
yhcJ
ycfS
c4752
ECs2628
ynfJ
yhgG
ydjX
c3387
Z5691
yhcM
Z3594
ECs4566
c1910
Z3360
ECs2186
c4546
c4755
Z2967
ECs4971
Z3114
c4509
molR_C
c0759
Z1345
Z0971
ynbE
Z1588
Z1441
c0962
ypjD
ftsW
murF
ygfJ
Z4191
yadH
folX
ydbH
c3800
waaQ
gpt
Z2048
yfeC
c0263
yeeX
Z1517
Z2310
prlC
c5169
yaiH
chaB
torR
Z0855
ybdA
yfcO
Z5896
c3557
dld
c2896
prrA
c1468
Z1838
Z3206
yibP
ECs5446
aroD
ypeA
hemD
c5200
yaeM
damX
c5211
ECs4957
Z1482
pitB
tdcA
ECs4976
Z1575
c3694
hha
c1001
Z1434
c2424
afuB
c1528
c1937
c4209
c0413
ahpC
rpoZ
ydhB
c0444
c0469
yadF
blr
c5349
c5343
c3304
phoR
yfeY
Z4071
yhhY
torD
c1884
Z0702
c0294
ilvC
ECs4949
c4763
c2729
c1255
c5167
Z1466
Z3921
yffS
c0903
ybhQ
Z1875
slyX
ybjO
xisE
yaiI
Z0244
rfaG
yggL
ynhG
c0882
pntB
Z1540
ligB
yjcV
ECs1335
c2742
Z6029
c2431
c3181
c4487
Z4912
c2212
cesD
Z5522
c4424
c1762
Z0269
yegM
Z2561
ydiI
yahJ
otsA
ydiA
Z0959
yheN
Z6022
Z0247
rplR
fabB
aroA
c5426
ygcG
nfi
c3305
c1531
ECs1579
Z0243
c3695
amyA
waaO
ddg
Z1333
ompL
Z6011
ymfL
Z5160
c4895
c5215
yhaG
minD
aphA6
c3176
c3558
c5176
papC
ECs1336
Z3341
Z1578
mltC
rho
c2254
deoC
purF
Z5161
frr
yqjB
c0608
ydbA
c0810
Z1847
yegH
Z2087
Z1567
yaiZ
ygaG
yiiX
c3148
yeiS
ydhV
c1507
c2806
Z1574
Z3276
Z5428
Z5415
c3407
Z1495
Z3595
c4278
c2528
ycdW
yfeZ
adhP
tqsA
lomW
Z6070
c2375
c1576
yqjI
Z4398
ybiJ
smpB
flgD
yeaM
yceE
c0355
ECs5420
c5213
c0965
lldP
ECs1527
c4507
c3462
c2472
c1013
surA
yecD
yfhJ
yeaP
ascG
rpoC
ECs1556
gpmB
ECs1526
ECs0604
cysZ
bisZ
marC
mrdA
c0038
lolE
pgtP
c4375
wcaM
ycaI
c1615
tdk
c5194
c2437
ECs4865
Z1579
c2486
c3151
c1165
c1592
c0036
c4987
rhsC
c0285
c3976
tdcG
rplY
Z5199
c3772
mmuM
ECs1185
Z0892
ydgQ
murI
ECs5399
ung
iraD
yhcH
minE
ybgE
c3381
c3753
Z4181
sibB
Z2986
fliD
c1260
ytfN
c0314
Z2095
argH
ECs4978
ECs2263
c2402
c3150
Z5212
c4514
c4545
c1494
c4495
tuf
ycgC
ypdB
cysB
puuD
