Gene.symbol,logFC
ECs4994,0.51
treB,0.51
ECs4995,0.51
ECs1544,0.51
narW,0.51
Z4328,0.51
c1411,0.51
ECs1200,0.51
gamW,0.51
Z2047,0.51
ppa,0.505
yfiH,0.505
Z2046,0.505
ychM,0.505
ybaE,0.505
ECs4959,0.505
yecP,0.505
epd,0.505
yefM,0.505
c1451,0.505
yciM,0.505
yigC,0.505
cydC,0.505
ymjA,0.505
ecnA,0.505
Z0313,0.505
c1574,0.505
Z4360,0.505
nagD,0.505
Z1618,0.505
c3750,0.505
rpsV,0.505
yedF,0.505
Z2371,0.505
Z4861,0.505
Z2339,0.505
c3273,0.505
Z0415,0.505
xisN,0.505
cysG,0.505
Z4195,0.505
hisP,0.505
Z1536,0.505
Z2261,0.505
yiaF,0.5
c0545,0.5
rpsR,0.5
Z3088,0.5
amiB,0.5
cspB,0.5
ECs1576,0.5
paaE,0.5
narX,0.5
ycfX,0.5
proC,0.5
purE,0.5
ECs0235,0.5
c3156,0.5
c3630,0.5
asnB,0.5
eutL,0.5
c5351,0.5
Z0256,0.5
yeiC,0.5
ydcT,0.5
hipA,0.5
Z6046,0.5
Z1534,0.5
galP,0.5
c5378,0.5
c4276,0.5
Z2369,0.5
Z5142,0.5
ygcW,0.5
ECs5414,0.5
yeaO,0.495
hycI,0.495
mdoD,0.495
rplE,0.495
yfcM,0.495
