Gene.symbol,logFC
Z2091,0.215
phnE,0.215
ydeK,0.215
Z1590,0.215
ECs2627,0.215
yfbM,0.21
yebZ,0.21
dsdA,0.21
sufC,0.21
gdhA,0.21
yceB,0.21
yqcC,0.21
rplJ,0.21
Z4386,0.21
yadI,0.21
c1487,0.21
c1435,0.21
yjeF,0.21
Z4198,0.21
c0173,0.21
Z2309,0.21
yjiA,0.21
Z2968,0.21
sitD,0.21
Z1644,0.21
c3648,0.21
ycfT,0.21
c4745,0.21
torT,0.21
phnA,0.21
ECs1188,0.21
fepD,0.21
Z3945,0.21
c1581,0.21
alr,0.21
Z2397,0.21
c2520,0.21
Z3616,0.21
Z1452,0.21
c4739,0.205
nohA,0.205
hisA,0.205
c3508,0.205
ybiH,0.205
nagA,0.205
yecF,0.205
gpmA,0.205
flu,0.205
Z3391,0.205
isrB,0.205
eutB,0.205
Z5954,0.205
ynfA,0.205
ymfM,0.205
yfaA,0.205
c5191,0.205
c3406,0.205
Z3089,0.205
Z4329,0.205
Z1494,0.205
c4016,0.205
yiaN,0.205
Z5900,0.205
trxA,0.2
Z5646,0.2
Z2325,0.2
c1546,0.2
yhaV,0.2
c1271,0.2
yrdC,0.2
dbpA,0.2
wzxC,0.2
codA,0.2
c2986,0.2
Z3358,0.2
yfbR,0.2
c3917,0.2
crr,0.2
c4409,0.2
c4848,0.2
aceA,0.2
c5143,0.2
Z1336,0.2
purK,0.2
c2495,0.2
c1573,0.2
c1422,0.2
moaB,0.2
c2541,0.2
ptsN,0.2
yicC,0.2
Z1818,0.2
c1765,0.2
elaC,0.2
ybeW,0.2
c3602,0.2
yaaF,0.195
ynhE,0.195
metK,0.195
c0276,0.195
yggD,0.195
nanK,0.195
yjgP,0.195
yliE,0.195
terW_2,0.195
ygiM,0.195
Z5987,0.195
Z1816,0.195
c1103,0.195
c5431,0.195
waaJ,0.195
c1565,0.195
c2405,0.195
ydaY,0.195
aefA,0.195
yfeN,0.195
Z4182,0.195
hybB,0.195
c3621,0.195
yeaI,0.195
c5299,0.195
chuW,0.195
Z2379,0.195
c0305,0.195
c1810,0.195
adiY,0.195
Z6072,0.195
flgF,0.195
c4766,0.195
araG,0.19
c4846,0.19
ygdP,0.19
yneJ,0.19
c5148,0.19
araH,0.19
sgaE,0.19
c2426,0.19
gcvP,0.19
aroL,0.19
Z1015,0.19
clpP,0.19
amn,0.19
c3196,0.19
yadK,0.19
Z0315,0.19
yafV,0.19
shiF,0.19
c1813,0.19
agaR,0.19
ycbO,0.19
puuE,0.19
ispH,0.19
Z4315,0.19
c4481,0.19
c3206,0.19
Z1516,0.19
Z4320,0.19
Z2263,0.19
c3658,0.19
c3147,0.19
ECs1189,0.19
yaeJ,0.185
ycbG,0.185
gapA,0.185
c2831,0.185
c5296,0.185
yihX,0.185
Z0338,0.185
deoA,0.185
c5035,0.185
yccD,0.185
c4017,0.185
rspA,0.185
flgM,0.185
c0945,0.185
c0326,0.185
kdpE,0.185
cheW,0.185
asd,0.185
c3399,0.185
Z3117,0.185
Z5094,0.185
c4014,0.185
nrfG,0.185
c4207,0.185
Z4855,0.185
insB,0.185
ppiC,0.18
aspA,0.18
Z2280,0.18
yijC,0.18
creA,0.18
Z0345,0.18
ECs5428,0.18
uxuR,0.18
dapD,0.18
yggG,0.18
yraP,0.18
Z3615,0.18
ECs0914,0.18
glpB,0.18
c0414,0.18
fliZ,0.18
ccmH,0.18
yeaL,0.18
yegT,0.18
lolC,0.18
c2563,0.18
Z0491,0.18
ytfR,0.18
escF,0.18
c1504,0.18
yqcB,0.175
Z3787,0.175
ispB,0.175
mraY,0.175
ynhC,0.175
pdxK,0.175
Z1821,0.175
malI,0.175
thiJ,0.175
c2645,0.175
yjbK,0.175
nagE,0.175
Z5092,0.175
Z5093,0.175
c4727,0.175
Z1477,0.175
c0939,0.175
c0363,0.175
ECs4973,0.175
ECs4991,0.175
c0345,0.175
phoQ,0.17
yehZ,0.17
dapF,0.17
yraO,0.17
gppA,0.17
ftsX,0.17
c4748,0.17
Z3083,0.17
trpS,0.17
slyB,0.17
mqsR,0.17
pldB,0.17
c4485,0.17
Z4104,0.17
Z0344,0.17
Z1443,0.17
c3667,0.17
Z2065,0.17
ybaO,0.17
c1218,0.17
hycG,0.17
ureB,0.17
Z6031,0.17
c3410,0.17
argE,0.17
c2432,0.17
Z2563,0.17
chaC,0.17
Z5475,0.17
melR,0.17
c3168,0.17
Z2089,0.17
c3640,0.17
Z2881,0.17
c1532,0.17
waaS,0.17
terA_2,0.17
c3170,0.17
yjhC,0.165
ycjI,0.165
Z0969,0.165
ycaR,0.165
Z3069,0.165
fadI,0.165
frwC,0.165
deoR,0.165
c4978,0.165
rfaP,0.165
Z0890,0.165
ycjT,0.165
ydbD,0.165
recB,0.165
fbpC,0.165
Z3077,0.165
ymfN,0.165
ydeI,0.165
cheB,0.165
c2122,0.165
c3892,0.165
c4986,0.165
c3220,0.165
c0021,0.165
ilvD,0.165
emrD,0.165
c4206,0.165
c0972,0.165
c0322,0.165
Z5689,0.165
focH,0.165
Z1363,0.165
c3652,0.165
yoaF,0.16
glyS,0.16
c0824,0.16
xapR,0.16
cyaR,0.16
yeaD,0.16
talA,0.16
c0357,0.16
yrfG,0.16
ygjO,0.16
fkpA,0.16
icdA,0.16
ynaJ,0.16
yadR,0.16
c0740,0.16
ybbJ,0.16
c1555,0.16
c4764,0.16
Z0638,0.16
ycgF,0.16
rihB,0.16
c3717,0.16
Z3108,0.16
Z6040,0.16
hdeB,0.16
c4728,0.155
c5380,0.155
c2320,0.155
sieB,0.155
dpiA,0.155
papA_2,0.155
ECs4985,0.155
c3012,0.155
ybiR,0.155
kpsM,0.155
smrB,0.155
ygfZ,0.155
appA,0.155
ygcM,0.155
rfaF,0.155
Z2051,0.155
c0323,0.155
mchF,0.155
ydcP,0.155
c1166,0.155
c1210,0.155
c5156,0.155
ycdG,0.155
yheL,0.155
c3509,0.155
c5037,0.155
c3164,0.155
yjgK,0.155
c3045,0.155
flgE,0.155
ECs4987,0.155
Z5878,0.155
c5040,0.155
c5423,0.155
c1889,0.155
c0398,0.155
Z1874,0.155
Z5892,0.155
yjjJ,0.155
yjbC,0.155
folK,0.155
yhfX,0.155
c1269,0.155
ybcJ,0.15
katE,0.15
ygfE,0.15
c1905,0.15
dacC,0.15
dsbG,0.15
ldcA,0.15
Z1631,0.15
Z5897,0.15
tdcB,0.15
c3140,0.15
yjhU,0.15
yejO,0.15
ebgR,0.15
ybiM,0.15
c0320,0.15
yiaE,0.15
Z5115,0.15
rhaB,0.15
c1691,0.15
nfrB,0.15
metF,0.15
c4557,0.15
Z2340,0.15
c3715,0.15
Z1533,0.15
c1485,0.145
c5012,0.145
Z4269,0.145
lar,0.145
plsB,0.145
Z4907,0.145
yedO,0.145
c4420,0.145
Z1787,0.145
Z1378,0.145
c0270,0.145
yajQ,0.145
trpC,0.145
Z1594,0.145
rdlB,0.145
ECs4974,0.145
ydeD,0.145
arcZ,0.145
Z3622,0.145
cytR,0.145
c1653,0.145
prpB,0.145
glpD,0.145
Z2511,0.145
c1590,0.145
Z3126,0.145
Z3934,0.145
c2440,0.145
c2193,0.145
spr,0.14
atoS,0.14
ydaT,0.14
flhE,0.14
recO,0.14
c1694,0.14
Z3292,0.14
fepE,0.14
rbsD,0.14
ECs5539,0.14
Z4695,0.14
yfiP,0.14
Z1687,0.14
yjhP,0.14
Z0343,0.14
gltJ,0.14
Z5444,0.14
Z0249,0.14
Z1459,0.14
Z0509,0.14
Z3272,0.14
kdpC,0.14
c2770,0.14
slt,0.135
yqaE,0.135
c1542,0.135
yeeW,0.135
glk,0.135
ydgA,0.135
c0080,0.135
rimO,0.135
cyoD,0.135
yhhN,0.135
Z2991,0.135
Z1542,0.135
yjbB,0.135
escJ,0.135
Z3601,0.135
ECs5421,0.135
fruK,0.135
hofB,0.135
c1764,0.135
Z2344,0.135
c4422,0.135
proV,0.135
c1194,0.135
ecpD,0.135
clpS,0.13
ftsZ,0.13
Z1555,0.13
fldB,0.13
ECs1182,0.13
ECs2760,0.13
ydfX,0.13
c0746,0.13
lomK,0.13
c3427,0.13
c2142,0.13
ycjM,0.13
ymiA,0.13
yjcF,0.13
ordL,0.13
ybhS,0.13
ycgN,0.13
Z0840,0.13
c3390,0.13
c0959,0.13
yohJ,0.13
lacY,0.13
fecD,0.13
c5301,0.13
mioC,0.13
c0946,0.13
Z0894,0.13
c4777,0.13
yidE,0.13
Z4856,0.13
Z2988,0.13
c0332,0.13
c0361,0.13
Z1481,0.13
vsr,0.125
Z0272,0.125
Z5162,0.125
aceE,0.125
c5464,0.125
c3919,0.125
Z3932,0.125
cyoE,0.125
Z0980,0.125
hisC,0.125
fadJ,0.125
Z0326,0.125
c3393,0.125
ECs1226,0.125
c1036,0.125
betA,0.125
c4177,0.125
c0290,0.125
Z1552,0.125
c0430,0.125
ybeJ,0.125
pfkA,0.125
flgG,0.125
torS,0.125
Z2983,0.125
fadB,0.125
Z2058,0.125
c4769,0.125
rpe,0.12
grxC,0.12
hisL,0.12
c3549,0.12
c1041,0.12
cutA,0.12
c2891,0.12
ydfE,0.12
ygdK,0.12
rhsD,0.12
yigZ,0.12
cusR,0.12
fimA,0.12
holE,0.12
c4772,0.12
c3568,0.12
ECs4961,0.12
c1472,0.12
Z5885,0.12
ygcO,0.12
Z1622,0.12
c1800,0.12
dadX,0.12
c4539,0.12
ECs4979,0.12
c3197,0.12
c1432,0.12
folP,0.115
pgaA,0.115
Z3231,0.115
serA,0.115
pepB,0.115
Z4185,0.115
yihU,0.115
Z5687,0.115
rrmA,0.115
fklB,0.115
plsC,0.115
ubiA,0.115
yraH,0.115
ygaU,0.115
c1809,0.115
jayE,0.115
ECs4990,0.115
fliA,0.115
c0289,0.115
ECs0823,0.115
ECs4972,0.115
c3394,0.115
ECs1988,0.115
c1193,0.115
Z2800,0.115
c3198,0.115
wcaL,0.115
c1496,0.115
c4568,0.115
hmuV,0.11
sfsA,0.11
accB,0.11
c5190,0.11
pal,0.11
cheY,0.11
beeE,0.11
yeaT,0.11
yffQ,0.11
Z2251,0.11
yedV,0.11
flgL,0.11
c2897,0.11
yjiH,0.11
yaaA,0.11
metB,0.11
dacB,0.11
yfjL,0.11
artJ,0.11
c3633,0.11
c1168,0.11
c3988,0.11
c2404,0.11
espD,0.11
Z2974,0.11
hemB,0.11
c1426,0.11
yphF,0.11
c1400,0.11
c0938,0.11
iroN,0.11
c4778,0.11
Z5151,0.11
c1811,0.11
Z2347,0.11
Z0337,0.11
ampD,0.105
c4281,0.105
ycgE,0.105
cysN,0.105
yaeB,0.105
ydcZ,0.105
fhuA,0.105
ccmF,0.105
waaG,0.105
yjjX,0.105
oppA,0.105
c3566,0.105
Z1444,0.105
celF,0.105
c2347,0.105
trpE,0.105
Z3390,0.105
c0351,0.105
ahpF,0.105
Z3866,0.105
livM,0.105
Z3768,0.105
c5406,0.105
sdsR,0.105
c2922,0.105
ECs1536,0.105
Z5882,0.105
yfdR,0.105
ykfG,0.105
rumB,0.105
c4552,0.105
pinH,0.105
rfe,0.1
yafN,0.1
ECs2227,0.1
yheO,0.1
caiB,0.1
yncE,0.1
yhcB,0.1
c1870,0.1
yadM,0.1
Z2239,0.1
ybhL,0.1
pqiA,0.1
c4579,0.1
c2562,0.1
Z0964,0.1
gatY,0.1
Z0342,0.1
c2984,0.1
tfaE,0.1
pyrC,0.1
birA,0.1
Z5932,0.1
c1893,0.1
cheR,0.1
c3409,0.1
chiA,0.1
Z3310,0.1
c5162,0.1
Z4857,0.1
c3679,0.1
c4512,0.1
c0944,0.1
ynfH,0.1
micC,0.1
Z0252,0.1
c3169,0.1
ECs4980,0.1
edd,0.095
c1203,0.095
rstA,0.095
yrbG,0.095
ynbD,0.095
ECs5496,0.095
yaiE,0.095
hemF,0.095
rpmE,0.095
hcaA1,0.095
thrC,0.095
gltB,0.095
c4020,0.095
c2463,0.095
c3523,0.095
rfaD,0.095
c1492,0.095
Z3935,0.095
yraR,0.095
c4482,0.095
purD,0.095
ECs4984,0.095
Z3395,0.095
Z4227,0.095
c3677,0.095
c1888,0.095
mchB,0.095
c4767,0.095
Z0972,0.095
gcvB,0.09
yciE,0.09
yafJ,0.09
Z1658,0.09
Z3672,0.09
Z1643,0.09
Z5150,0.09
agaV,0.09
yebT,0.09
ydhJ,0.09
c1956,0.09
ydaC,0.09
puuP,0.09
puuB,0.09
c2586,0.09
nirB,0.09
c1213,0.09
yaaX,0.09
c1221,0.09
Z0339,0.09
c2494,0.09
dadA,0.09
c0022,0.09
intL,0.09
c3031,0.09
yrbB,0.085
kpsC,0.085
Z2056,0.085
yccS,0.085
yjgF,0.085
ygiN,0.085
c3571,0.085
trkH,0.085
yhhM,0.085
priA,0.085
Z5028,0.085
ptxA,0.085
Z2059,0.085
bioB,0.085
celC,0.085
Z2354,0.085
aldH,0.085
Z0264,0.085
yjgQ,0.085
c1199,0.085
ymfQ,0.085
pldA,0.085
tbpA,0.085
yaeO,0.085
Z2323,0.085
fliL,0.085
hybA,0.085
Z0416,0.085
c0301,0.085
c0943,0.085
Z6021,0.085
c4484,0.085
rpoE,0.085
c5386,0.085
ynjC,0.085
Z1479,0.085
yfcR,0.085
fpr,0.085
Z3243,0.085
Z0885,0.085
cpdB,0.08
c1106,0.08
gltL,0.08
chbF,0.08
symE,0.08
wzzE,0.08
yaiN,0.08
Z1878,0.08
yhfV,0.08
c4311,0.08
Z2364,0.08
Z1550,0.08
c5206,0.08
panD,0.08
intA,0.08
ymdB,0.08
ECs2203,0.08
ECs5445,0.08
secB,0.08
Z2225,0.08
ybiP,0.08
yicP,0.08
yajB,0.08
c3240,0.08
c3660,0.08
yjgL,0.08
nadB,0.08
c3572,0.08
ECs5495,0.08
espF,0.08
c0312,0.08
arp,0.08
c2149,0.08
prpE,0.08
Z1780,0.08
bioA,0.08
c4761,0.08
ybgH,0.08
yjdG,0.075
phoH,0.075
sfaB,0.075
dnaQ,0.075
trmA,0.075
ydgB,0.075
ycjD,0.075
c1293,0.075
c1881,0.075
c3063,0.075
ECs1072,0.075
intU,0.075
ygiP,0.075
Z3784,0.075
pepQ,0.075
uidB,0.075
c0313,0.075
phnD,0.075
yjcQ,0.075
pgtC,0.075
ydfO,0.075
ycjW,0.075
dsrA,0.075
c3595,0.075
c1172,0.075
ECs3864,0.075
c4520,0.075
ECs5532,0.07
c3010,0.07
yheM,0.07
ykfE,0.07
fimI,0.07
yrdD,0.07
fliY,0.07
ECs1099,0.07
yecA,0.07
ydfU,0.07
ydcW,0.07
ydeN,0.07
c1190,0.07
Z2372,0.07
yaaH,0.07
ECs1231,0.07
gntR,0.07
c3618,0.07
rseA,0.07
Z2370,0.07
c3166,0.07
c1412,0.07
yddH,0.07
Z3348,0.07
yjjV,0.065
yfdN,0.065
ycgV,0.065
speE,0.065
yaiA,0.065
pmbA,0.065
yagF,0.065
ygdD,0.065
ECs5458,0.065
yfiD,0.065
stfR,0.065
sgaB,0.065
ynfC,0.065
c3935,0.065
yhiR,0.065
yphD,0.065
Z1604,0.065
ydjS,0.065
Z4186,0.065
Z0275,0.065
lldR,0.065
folB,0.065
fba,0.065
c1620,0.065
glmZ,0.065
c2118,0.065
c4500,0.065
Z0316,0.065
yiaH,0.065
mtlD,0.065
yfeT,0.065
c4575,0.065
c5373,0.065
c3391,0.065
ydeU,0.065
c1885,0.065
yhbJ,0.06
xseA,0.06
intD,0.06
c5196,0.06
yiiM,0.06
araE,0.06
yaeD,0.06
celB,0.06
c2438,0.06
ybbQ,0.06
Z2224,0.06
trpA,0.06
ycgW,0.06
c1196,0.06
yicG,0.06
chuA,0.06
yafP,0.06
c0757,0.06
Z1387,0.06
c5025,0.06
c3143,0.06
c3718,0.06
ybhK,0.06
wcaK,0.06
ECs5480,0.06
ECs1664,0.06
Z1922,0.06
c1216,0.06
ylbB,0.06
thiS,0.06
iutA,0.06
Z4317,0.06
atpA,0.055
c4754,0.055
adhC,0.055
rrfC,0.055
yacG,0.055
gltK,0.055
yqhD,0.055
Z1919,0.055
yqfA,0.055
Z4193,0.055
cspF,0.055
pgaD,0.055
ydhZ,0.055
tfaP,0.055
Z1823,0.055
ydhK,0.055
Z2759,0.055
ECs5565,0.055
Z3651,0.055
yoaC,0.055
yhbP,0.055
c1554,0.055
c4533,0.055
c5246,0.055
Z3115,0.055
c4214,0.055
ECs1957,0.055
c5154,0.055
Z0891,0.055
Z4832,0.055
intV,0.055
c5432,0.055
c0964,0.05
intS,0.05
yebU,0.05
ECs0826,0.05
rfaQ,0.05
atpG,0.05
yobD,0.05
Z1921,0.05
c3400,0.05
eutG,0.05
yehY,0.05
yhjK,0.05
ECs1673,0.05
ydcV,0.05
murR,0.05
tir,0.05
Z2353,0.05
c2452,0.05
fdhD,0.05
c4828,0.05
ybjJ,0.05
yqeC,0.05
hybE,0.05
c0719,0.05
c3389,0.05
xylB,0.05
c4983,0.05
c4526,0.05
intH,0.05
ygfT,0.05
Z1546,0.05
ppnK,0.045
dgt,0.045
Z3072,0.045
cutF,0.045
Z3912,0.045
c3665,0.045
ybaV,0.045
hisG,0.045
c2468,0.045
chpS,0.045
Z2394,0.045
mgtA,0.045
ydaF,0.045
c2411,0.045
emrA,0.045
yagI,0.045
c3713,0.045
Z0310,0.045
c3605,0.045
fieF,0.045
intW,0.045
ECs4982,0.045
murP,0.045
c0412,0.045
c2416,0.045
pgtA,0.045
ECs4948,0.045
c1224,0.045
terD_2,0.045
Z4851,0.045
c4213,0.045
ECs1821,0.04
c1551,0.04
atpC,0.04
yedW,0.04
ybjP,0.04
Z1972,0.04
ydaK,0.04
Z1841,0.04
c2409,0.04
ybaP,0.04
Z2085,0.04
c4208,0.04
Z2771,0.04
cafA,0.04
waaL,0.04
c3603,0.04
ECs2800,0.04
ycaC,0.04
yihR,0.04
Z2396,0.04
Z5140,0.04
ybgA,0.04
Z2973,0.04
fliM,0.04
yqjG,0.04
ybiN,0.04
c1438,0.04
araA,0.04
c0304,0.04
Z1778,0.04
Z1476,0.04
c3446,0.04
Z1844,0.04
phnP,0.04
stpA,0.035
Z4196,0.035
c1838,0.035
cyoC,0.035
c5435,0.035
Z2121,0.035
ECs5391,0.035
ydgT,0.035
c0754,0.035
sitA,0.035
spaP,0.035
yecE,0.035
yqjK,0.035
xisW,0.035
ECs2006,0.035
c1265,0.035
acpS,0.035
Z0309,0.035
Z4066,0.035
c1571,0.035
yegW,0.035
Z1500,0.035
c3565,0.035
c2988,0.035
tyrA,0.03
c2059,0.03
rzpR,0.03
tus,0.03
cspI,0.03
ydaV,0.03
Z3495,0.03
c2931,0.03
yccR,0.03
cobU,0.03
Z3644,0.03
yaeE,0.03
ybjX,0.03
c2430,0.03
ynjD,0.03
yedU,0.03
Z1519,0.03
c3187,0.03
rem,0.03
ybjG,0.03
c4529,0.03
c1534,0.03
Z2078,0.03
Z2560,0.03
ECs1243,0.03
Z0463,0.03
c1222,0.03
c3597,0.03
yeaC,0.03
yidK,0.03
c3224,0.03
c4564,0.03
Z5887,0.03
c0650,0.03
c3392,0.03
metH,0.03
Z1483,0.03
dmsB,0.025
focF,0.025
cof,0.025
c2130,0.025
rrsH,0.025
coxT,0.025
csgA,0.025
ECs4965,0.025
c1437,0.025
solA,0.025
appC,0.025
stfP,0.025
c5210,0.025
kduD,0.025
c2893,0.025
shiA,0.025
c4551,0.025
ybaQ,0.025
bioF,0.025
c0321,0.025
Z1829,0.025
Z2979,0.025
c4566,0.025
ECs1199,0.025
yjfR,0.025
hydH,0.025
nirC,0.02
tmpR,0.02
ycfH,0.02
Z1544,0.02
ECs4592,0.02
c2119,0.02
intE,0.02
yjjY,0.02
qor,0.02
engB,0.02
yhbT,0.02
c2505,0.02
c4536,0.02
cyaY,0.02
suhB,0.02
ECs1400,0.02
eutD,0.02
c3517,0.02
Z3198,0.02
yehC,0.02
Z4323,0.02
c4538,0.02
iucA,0.02
focA,0.02
Z1518,0.02
ECs4944,0.02
cheZ,0.02
c3506,0.02
Z0946,0.02
c1444,0.02
c4534,0.02
Z0319,0.02
Z3585,0.02
Z0893,0.02
c4494,0.02
yhiN,0.015
ppdC,0.015
dsbE,0.015
fcI,0.015
c1406,0.015
flgC,0.015
cpxP,0.015
yegK,0.015
dapE,0.015
yggN,0.015
Z2491,0.015
phnI,0.015
Z4823,0.015
c5300,0.015
cysD,0.015
Z4788,0.015
mrdB,0.015
Z3104,0.015
c2454,0.015
c3873,0.015
flgK,0.015
c0271,0.015
yfcL,0.015
yjhQ,0.015
ykfB,0.015
c4511,0.015
cusS,0.015
Z5904,0.015
entE,0.015
ynfG,0.015
yqjC,0.015
ycdJ,0.015
yfeG,0.015
c5290,0.015
sohA,0.01
yodA,0.01
rbsK,0.01
c1490,0.01
Z2389,0.01
modD,0.01
ugpB,0.01
yaiM,0.01
yccC,0.01
acrB,0.01
basR,0.01
Z0260,0.01
c0282,0.01
Z1326,0.01
ynfM,0.01
c4567,0.01
ymgD,0.01
c5192,0.01
Z0025,0.01
c3219,0.01
c5321,0.01
ydeH,0.01
Z2977,0.01
Z0259,0.01
rspB,0.01
Z3242,0.01
Z3230,0.01
c1548,0.01
c2492,0.01
xapB,0.01
ynfO,0.01
c2755,0.01
c4496,0.01
pntA,0.01
Z2100,0.01
sitC,0.01
srlA,0.01
Z2098,0.01
c1270,0.01
c2435,0.01
c2511,0.005
prmA,0.005
arcA,0.005
ybdG,0.005
crp,0.005
fdoI,0.005
c2129,0.005
fucR,0.005
yacC,0.005
Z0884,0.005
sufI,0.005
c4558,0.005
ycaQ,0.005
znuB,0.005
kch,0.005
c4925,0.005
Z2810,0.005
ycgH,0.005
sslE,0.005
yhhA,0.005
c3617,0.005
ydfA,0.005
c3613,0.005
Z1328,0.005
rfaH,0.005
ydfR,3.55e-15
fucP,1.78e-15
aldB,1.78e-15
xni,1.78e-15
yjdH,1.78e-15
Z6024,8.88e-16
c4642,8.88e-16
ytfQ,8.88e-16
c1802,0
c0310,0
c5348,0
Z3609,0
ECs1392,0
yjeB,0
Z3941,-4.44e-16
c1577,-8.88e-16
Z3124,-8.88e-16
yegB,-8.88e-16
Z3933,-8.88e-16
glpC,-1.78e-15
c3251,-1.78e-15
ychP,-3.55e-15
c2501,-0.005
udhA,-0.005
ycjS,-0.005
yedR,-0.005
c2075,-0.005
yedK,-0.005
c3510,-0.005
racR,-0.005
yohK,-0.005
c2433,-0.005
hcaA2,-0.005
ybdB,-0.005
yehI,-0.005
yjiC,-0.005
aceB,-0.005
c2469,-0.005
c5083,-0.005
c3716,-0.005
ygjL,-0.005
c2215,-0.005
Z6078,-0.005
Z1634,-0.005
yadD,-0.005
Z1556,-0.005
Z2343,-0.005
mhpC,-0.01
croE,-0.01
pnuC,-0.01
yhbH,-0.01
flxA,-0.01
c3644,-0.01
sibA,-0.01
Z2976,-0.01
Z1429,-0.01
c0120,-0.01
c4510,-0.01
c3775,-0.01
c1176,-0.01
uidC,-0.01
c2423,-0.01
c3635,-0.01
yfgC,-0.01
Z5893,-0.01
c3610,-0.01
hlyD,-0.01
frwA,-0.015
nuoN,-0.015
ssrA,-0.015
tatD,-0.015
Z2219,-0.015
c4265,-0.015
fdoH,-0.015
c4774,-0.015
c4178,-0.015
c5193,-0.015
yodD,-0.015
c1519,-0.015
gabD,-0.015
Z5886,-0.015
yfjS,-0.015
c0690,-0.015
Z5429,-0.015
Z0615,-0.015
chuS,-0.015
Z1853,-0.015
c0318,-0.015
hybG,-0.02
ECs5556,-0.02
fhuC,-0.02
yihQ,-0.02
Z3116,-0.02
cchA,-0.02
ECs4187,-0.02
c3622,-0.02
ydfV,-0.02
ECs1577,-0.02
ECs5181,-0.02
ECs1391,-0.02
ECs3499,-0.02
c1618,-0.02
asst,-0.02
c3276,-0.02
c3676,-0.02
c4501,-0.02
c1497,-0.02
yhiH,-0.02
Z4046,-0.02
Z3507,-0.025
yaeH,-0.025
proX,-0.025
pnp,-0.025
ygbF,-0.025
Z2427,-0.025
c2434,-0.025
c3507,-0.025
ypdC,-0.025
cheA,-0.025
yieN,-0.025
yagE,-0.025
chbG,-0.025
c1566,-0.025
frvR,-0.025
aceF,-0.025
c1846,-0.025
Z4777,-0.025
envZ,-0.025
c5034,-0.025
ygbA,-0.025
c4765,-0.025
yhhP,-0.025
waaW,-0.025
ECs4947,-0.025
c1005,-0.025
ycdQ,-0.03
csrB,-0.03
yddO,-0.03
yhfA,-0.03
ybaX,-0.03
yciF,-0.03
zntB,-0.03
cybB,-0.03
Z3617,-0.03
Z3240,-0.03
rtn,-0.03
c1596,-0.03
dsdX,-0.03
c5021,-0.03
yjcT,-0.03
Z2265,-0.03
agaZ,-0.03
ECs4977,-0.03
ybbC,-0.03
c0023,-0.03
c2453,-0.03
yjhH,-0.03
c4897,-0.03
yhiQ,-0.03
c4618,-0.03
Z0336,-0.03
c3607,-0.03
c2497,-0.03
Z1663,-0.03
Z1932,-0.035
yiaI,-0.035
yeiR,-0.035
metJ,-0.035
rpiB,-0.035
Z2269,-0.035
waaB,-0.035
yfbL,-0.035
ytfP,-0.035
rstB,-0.035
Z0372,-0.035
yhaL,-0.035
c5043,-0.035
Z6077,-0.035
yeiO,-0.035
c1874,-0.035
c4522,-0.035
cmr,-0.035
ykgF,-0.035
Z1337,-0.035
c1689,-0.035
Z1967,-0.035
c2395,-0.035
c1591,-0.035
c2963,-0.035
c1499,-0.035
Z2255,-0.035
hdeA,-0.035
bolA,-0.04
ydeW,-0.04
rcsC,-0.04
Z4969,-0.04
stfE,-0.04
htrL,-0.04
intZ,-0.04
ygdL,-0.04
Z1480,-0.04
ycgZ,-0.04
fimB,-0.04
Z2223,-0.04
mtgA,-0.04
c1908,-0.04
ampC,-0.04
pmrD,-0.04
flgA,-0.04
yhaK,-0.04
c3889,-0.04
Z4067,-0.04
ureF_2,-0.04
c1522,-0.04
ydhW,-0.04
yagS,-0.04
Z4966,-0.04
c5381,-0.04
pinE,-0.045
Z2708,-0.045
mngR,-0.045
ECs1517,-0.045
ECs4967,-0.045
yliF,-0.045
potI,-0.045
yccZ,-0.045
ydcO,-0.045
ECs1060,-0.045
hcaB,-0.045
ygeD,-0.045
ECs4656,-0.045
ygjU,-0.045
livF,-0.045
nuoI,-0.045
pdxJ,-0.045
ycgB,-0.045
ycdK,-0.045
yqeB,-0.045
c0275,-0.045
sepL,-0.045
ECs1250,-0.045
c3029,-0.045
c1648,-0.045
tynA,-0.05
rrlC,-0.05
Z1528,-0.05
ECs4998,-0.05
wecB,-0.05
creB,-0.05
citA,-0.05
yjiS,-0.05
Z2403,-0.05
c5044,-0.05
yhaJ,-0.05
ytjA,-0.05
Z5001,-0.05
yfcQ,-0.05
rlmC,-0.05
c3302,-0.05
osmF,-0.05
Z3920,-0.05
entA,-0.05
glcB,-0.05
tilS,-0.05
ybgD,-0.05
yadQ,-0.055
cobS,-0.055
Z4127,-0.055
Z3347,-0.055
ycgT,-0.055
Z4850,-0.055
c2065,-0.055
ftn,-0.055
Z2444,-0.055
exbD,-0.055
ydaW,-0.055
c4179,-0.055
Z5104,-0.055
flhB,-0.055
Z0705,-0.055
c4981,-0.055
c3639,-0.055
cspG,-0.055
ygeY,-0.055
c4309,-0.055
Z1606,-0.055
yhhG,-0.055
ybgS,-0.055
ycfO,-0.055
ECs0310,-0.055
c0375,-0.055
c2201,-0.055
c1761,-0.055
Z3598,-0.055
c0966,-0.055
yhcI,-0.055
gsk,-0.06
yihV,-0.06
ftsI,-0.06
nlpD,-0.06
Z0374,-0.06
ampE,-0.06
Z2186,-0.06
yfjK,-0.06
ampG,-0.06
ssuB,-0.06
c1935,-0.06
dkgA,-0.06
ylaD,-0.06
ECs4548,-0.06
escN,-0.06
ftsN,-0.06
c3681,-0.06
